Date;Location;MinTemp;MaxTemp;Rainfall;Evaporation;Sunshine;WindGustDir;WindGustSpeed;WindDir9am;WindDir3pm;WindSpeed9am;WindSpeed3pm;Humidity9am;Humidity3pm;Pressure9am;Pressure3pm;Cloud9am;Cloud3pm;Temp9am;Temp3pm;RainToday;RainTomorrow
2017-12-02;Canberra;14.11;18.73;44.42;;;N;12.86;NO;NNO;5.14;7.72;77;88;1001;1003;0;100;17.12;14.12;Yes;No
2017-12-03;Canberra;11.88;18.23;0.3;;;NO;9.26;NO;NE;7.72;2.6;68;88;1009;1011;0;75;16.12;12.12;No;Yes
2017-12-04;Canberra;10.52;12.57;7.34;;;SSE;4.63;S;S;2.6;5.1;94;88;1012;1012;75;100;12.12;12.12;Yes;Yes
2017-12-05;Canberra;11.48;17.68;4.63;;;SE;7.72;SSE;S;6.2;3.6;63;94;1007;1006;75;75;16.12;12.12;Yes;Yes
2017-12-06;Canberra;11.86;18.64;1.63;;;ONO;8.23;ONO;NNO;3.1;2.6;60;82;1002;1005;40;0;19.12;14.12;Yes;No
2017-12-07;Canberra;9.31;25.19;0.0;;;O;8.75;NO;O;6.2;7.2;36;63;1005;1009;0;75;23.12;17.12;No;Yes
2017-12-08;Canberra;12.24;21.17;2.36;;;O;8.23;N;NE;6.7;3.1;37;82;1013;1019;40;100;20.12;13.12;Yes;No
2017-12-09;Canberra;9.0;23.79;0.0;;;NNO;5.66;NNO;SE;5.14;2.1;36;77;1018;1022;0;0;23.12;15.12;No;No
2017-12-10;Canberra;11.38;27.12;0.0;;;NO;5.66;N;SE;4.63;2.1;37;82;1019;1021;0;0;26.12;17.12;No;No
2017-12-11;Canberra;12.55;27.9;0.0;;;ENE;7.72;ENE;ESE;7.72;2.1;61;83;1017;1020;40;100;24.12;18.12;No;No
2017-12-12;Canberra;16.47;29.5;0.0;;;ONO;7.2;NO;SE;6.7;2.6;28;94;1015;1016;0;0;28.12;17.12;No;No
2017-12-13;Canberra;13.42;31.41;0.0;;;NO;6.69;O;N;4.12;1.03;19;59;1010;1011;0;0;31.12;18.12;No;Yes
2017-12-14;Canberra;14.29;31.47;2.7;;;NO;10.29;ENE;ENE;3.6;2.1;54;78;1010;1012;0;100;25.12;20.12;Yes;Yes
